+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
| Title                                                      | Artist                           | Votes Added | New Rating |                                                          New Votes List |
+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
| Mount Analogue                                             | Varg                             |           1 |        1.0 |                                                             1;1;1;1;1;1 |
| Clean It Up                                                | Butthole Surfers                 |     2;3;6;7 |        4.5 |                         2;3;6;7;2;3;6;7;2;3;6;7;2;3;6;7;2;3;6;7;2;3;6;7 |
| Bien Venidos                                               | Static-X                         |           2 |        2.0 |                                                             2;2;2;2;2;2 |
| Playground For A Wedgeless Firm                            | The Chemical Brothers            |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Fairy                                                      | KMFDM                            |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Giant Robot (Giant Robot Vs. Guillatine)                   | Buckethead                       |         3;5 |        4.0 |                                                 3;5;3;5;3;5;3;5;3;5;3;5 |
| Monolith                                                   | Mudvayne                         |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Golden Ratio                                               | Mudvayne                         |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Someday                                                    | Nickelback                       |         3;5 |        4.0 |                                                 3;5;3;5;3;5;3;5;3;5;3;5 |
| Chewin' George Lucas' Chocolate                            | Butthole Surfers                 |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Dog Inside Your Body                                       | Butthole Surfers                 |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| On Your Own                                                | Blur                             |         3;4 |        3.5 |                                                 3;4;3;4;3;4;3;4;3;4;3;4 |
| Don't Wanna Fall In Love                                   | Green Day                        |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Do Da Da                                                   | Green Day                        |       3;4;5 |        4.0 |                                     3;4;5;3;4;5;3;4;5;3;4;5;3;4;5;3;4;5 |
| Ha Ha You're Dead                                          | Green Day                        |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Pollution                                                  | Limp Bizkit                      |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Faith                                                      | Limp Bizkit                      |         3;5 |        4.0 |                                                 3;5;3;5;3;5;3;5;3;5;3;5 |
| Manifest Density Pt. 1                                     | Local H                          |           3 |        3.0 |                                                             3;3;3;3;3;3 |
| Green Onions                                               | The Ventures                     |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Always & Never                                             | Coheed And Cambria               |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Thrash Up!                                                 | KMFDM                            |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| En Esch                                                    | KMFDM                            |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Giant Robot (Interlude)                                    | Buckethead                       |         4;5 |        4.5 |                                                 4;5;4;5;4;5;4;5;4;5;4;5 |
| Giant Robot (Giant Robot Theme)                            | Buckethead                       |         4;5 |        4.5 |                                                 4;5;4;5;4;5;4;5;4;5;4;5 |
| Giant Robot (Enter Guillatine)                             | Buckethead                       |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| - 1                                                        | Mudvayne                         |         4;4 |        4.0 |                                                 4;4;4;4;4;4;4;4;4;4;4;4 |
| Death Blooms                                               | Mudvayne                         |         4;5 |        4.5 |                                                 4;5;4;5;4;5;4;5;4;5;4;5 |
| Cradle                                                     | Mudvayne                         |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Wide Open                                                  | The Chemical Brothers            |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Reborn                                                     | Stone Sour                       |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Should've Listened                                         | Nickelback                       |         4;5 |        4.5 |                                                 4;5;4;5;4;5;4;5;4;5;4;5 |
| Slinky                                                     | 311                              |         4;5 |        4.5 |                                                 4;5;4;5;4;5;4;5;4;5;4;5 |
| Summer Of Love                                             | 311                              |       4;4;6 |        4.7 |                                     4;4;6;4;4;6;4;4;6;4;4;6;4;4;6;4;4;6 |
| Theme From Retro                                           | Blur                             |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Suffocate                                                  | Green Day                        |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Sick Of Me                                                 | Green Day                        |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| No Problem                                                 | Local H                          |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Naomi                                                      | Slick Idiot                      |           4 |        4.0 |                                                             4;4;4;4;4;4 |
| Digital Child                                              | Carbon Based Lifeforms           |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Wishful Thinking                                           | Between Interval                 |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Ain't Even Done With The Night                             | John Mellencamp                  |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Golgotha                                                   | Asura                            |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Naked Sunday                                               | Stone Temple Pilots              |         5;7 |        6.0 |                                                 5;7;5;7;5;7;5;7;5;7;5;7 |
| Keeping The Blade                                          | Coheed And Cambria               |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| UAIOE                                                      | KMFDM                            |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Thumb Thumb                                                | KMFDM                            |       5;6;6 |        5.7 |                                     5;6;6;5;6;6;5;6;6;5;6;6;5;6;6;5;6;6 |
| Apathy                                                     | KMFDM                            |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Son Of A Gun                                               | KMFDM                            |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Pushing Me Away                                            | Linkin Park                      |         5;8 |        6.5 |                                                 5;8;5;8;5;8;5;8;5;8;5;8 |
| Internal Primates Forever                                  | Mudvayne                         |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| In The Meantime                                            | Helmet                           |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Radiate                                                    | The Chemical Brothers            |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Your God                                                   | Stone Sour                       |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Norrländska Vemodet                                        | Varg                             |         5;7 |        6.0 |                                                 5;7;5;7;5;7;5;7;5;7;5;7 |
| Skoptsky                                                   | Varg                             |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Neuwerld                                                   | Skinny Puppy                     |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Do This Anymore                                            | Nickelback                       |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Alcohol                                                    | Butthole Surfers                 |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Jimi                                                       | Butthole Surfers                 |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Rocky                                                      | Butthole Surfers                 |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Fart Song                                                  | Butthole Surfers                 |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Overdrive                                                  | Foo Fighters                     |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Burn Away                                                  | Foo Fighters                     |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Capsized                                                   | Fozzy                            |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Wolves At Bay                                              | Fozzy                            |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Dog New Tricks                                             | Garbage                          |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| My Lover's Box                                             | Garbage                          |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Milk                                                       | Garbage                          |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| On The Wagon                                               | Green Day                        |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Murder My Heart                                            | KMFDM                            |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Quantum Ritual                                             | Traxon                           |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Maria Lionza                                               | Cosmogonía                       |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Megalo                                                     | KMFDM                            |         5;6 |        5.5 |                                                 5;6;5;6;5;6;5;6;5;6;5;6 |
| Clunk                                                      | Limp Bizkit                      |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Joseph Merrick                                             | Mastodon                         |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Frontlines                                                 | Nonpoint                         |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| I Prefer                                                   | Ministry                         |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Extra                                                      | Slick Idiot                      |           5 |        5.0 |                                                             5;5;5;5;5;5 |
| Little Girls Eat Chocolate                                 | Circular                         |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Rablekok                                                   | Circular                         |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Metro Entrance I                                           | Varg & Abdulla Rashim            |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| War Machine                                                | AC/DC                            |         6;8 |        7.0 |                                                 6;8;6;8;6;8;6;8;6;8;6;8 |
| Constantly Hating (feat. Birdman)                          | Young Thug                       |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Paper In Fire                                              | John Mellencamp                  |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Rockin' Down The Highway                                   | The Doobie Brothers              |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| She Hates Me                                               | Puddle Of Mudd                   |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| A Place For My Head                                        | Linkin Park                      |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Where Do I Begin                                           | The Chemical Brothers            |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Starting Over                                              | The Crystal Method               |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Murder                                                     | KMFDM                            |       6;7;7 |        6.7 |                                     6;7;7;6;7;7;6;7;7;6;7;7;6;7;7;6;7;7 |
| Dogma                                                      | KMFDM                            |         6;8 |        7.0 |                                                 6;8;6;8;6;8;6;8;6;8;6;8 |
| Wrath                                                      | KMFDM                            |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| In My Eyes                                                 | Rage Against The Machine         |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Ironhead                                                   | Helmet                           |       6;6;7 |        6.3 |                                     6;6;7;6;6;7;6;6;7;6;6;7;6;6;7;6;6;7 |
| Serious                                                    | Scars On Broadway                | 6;6;6;7;7;8 |        6.7 | 6;6;6;7;7;8;6;6;6;7;7;8;6;6;6;7;7;8;6;6;6;7;7;8;6;6;6;7;7;8;6;6;6;7;7;8 |
| Funny                                                      | Scars On Broadway                |         6;6 |        6.0 |                                                 6;6;6;6;6;6;6;6;6;6;6;6 |
| Insane                                                     | Scars On Broadway                |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Babylon                                                    | Scars On Broadway                |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| All The Love In The World                                  | Nine Inch Nails                  |   6;9;10;10 |       10.0 |    10;20;30;6;9;10;10;6;9;10;10;6;9;10;10;6;9;10;10;6;9;10;10;6;9;10;10 |
| I'mmortal                                                  | Skinny Puppy                     |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Links 2 3 4                                                | Rammstein                        |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Mutter                                                     | Rammstein                        |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Spieluhr                                                   | Rammstein                        |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| dOwnsizer                                                  | Skinny Puppy                     |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Something Else                                             | Seether                          |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| I'll Survive                                               | Seether                          |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Believe It Or Not                                          | Nickelback                       |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Throw Yourself Away                                        | Nickelback                       |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Polyamorous                                                | Breaking Benjamin                |       6;7;8 |        7.0 |                                     6;7;8;6;7;8;6;7;8;6;7;8;6;7;8;6;7;8 |
| Skin                                                       | Breaking Benjamin                |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| The Ballad Of Naked Man                                    | Butthole Surfers                 |         6;8 |        7.0 |                                                 6;8;6;8;6;8;6;8;6;8;6;8 |
| I Saw An X-Ray Of A Girl Passing Gas                       | Butthole Surfers                 |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| John E. Smoke                                              | Butthole Surfers                 |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Julio Iglesias                                             | Butthole Surfers                 |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Backass                                                    | Butthole Surfers                 |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Strange News From Another Star                             | Blur                             |     6;7;8;8 |        7.2 |                         6;7;8;8;6;7;8;8;6;7;8;8;6;7;8;8;6;7;8;8;6;7;8;8 |
| Look Inside America                                        | Blur                             |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Essex Dogs                                                 | Blur                             |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Tired Of You                                               | Foo Fighters                     |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Wordsworth Way                                             | Fozzy                            |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Elevator                                                   | Fozzy                            |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Running With The Bulls                                     | Fozzy                            |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Queer                                                      | Garbage                          |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Scumbag                                                    | Green Day                        |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Rotting                                                    | Green Day                        |       6;7;7 |        6.7 |                                     6;7;7;6;7;7;6;7;7;6;7;7;6;7;7;6;7;7 |
| Better                                                     | Helmet                           |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Shock                                                      | KMFDM                            |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Binge Boil & Blow                                          | KMFDM                            |       6;6;7 |        6.3 |                                     6;6;7;6;6;7;6;6;7;6;6;7;6;6;7;6;6;7 |
| Stuck                                                      | Limp Bizkit                      |       6;6;7 |        6.3 |                                     6;6;7;6;6;7;6;6;7;6;6;7;6;6;7;6;6;7 |
| Stalemate                                                  | Limp Bizkit                      |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Indigo Flow                                                | Limp Bizkit                      |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Leech                                                      | Limp Bizkit                      |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| The Speed Of Pain                                          | Mar1lyn Man5on                   |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Miracle                                                    | Nonpoint                         |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Crazy                                                      | Nonpoint                         |       6;7;7 |        6.7 |                                     6;7;7;6;7;7;6;7;7;6;7;7;6;7;7;6;7;7 |
| Corrosion                                                  | Ministry                         |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Grace                                                      | Ministry                         |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Hive                                                       | 311                              |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Ogopogo                                                    | Slick Idiot                      |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Wonderful World                                            | Slick Idiot                      |         6;7 |        6.5 |                                                 6;7;6;7;6;7;6;7;6;7;6;7 |
| Imago                                                      | Slick Idiot                      |           6 |        6.0 |                                                             6;6;6;6;6;6 |
| Creep                                                      | Stone Temple Pilots              |         7;7 |        7.0 |                                                 7;7;7;7;7;7;7;7;7;7;7;7 |
| Time Machine                                               | Circular                         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Space And Time                                             | 009 Sound System                 |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Smash N Grab                                               | AC/DC                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| You're No Good                                             | KMFDM                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Ticks & Leeches                                            | Tool                             |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| I Need A Lover                                             | John Mellencamp                  |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Hurts So Good                                              | John Mellencamp                  |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Crumblin' Down                                             | John Mellencamp                  |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Dirty Little Secret                                        | The All-American Rejects         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Free Bird (Live)                                           | Lynyrd Skynyrd                   |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Machinehead                                                | Bush                             |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Make It Wit Chu                                            | Queens Of The Stone Age          |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| American Idiot                                             | Green Day                        |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Brown Sugar                                                | Rolling Stones                   |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Smoke Two Joints                                           | Sublime                          |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| I Am Machine                                               | Three Days Grace                 |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Learn To Fly                                               | Foo Fighters                     |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| In The End                                                 | Linkin Park                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Back To Light                                              | Asura                            |   7;7;8;8;8 |        7.6 |             7;7;8;8;8;7;7;8;8;8;7;7;8;8;8;7;7;8;8;8;7;7;8;8;8;7;7;8;8;8 |
| The Frail                                                  | Nine Inch Nails                  |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| The Day Is My Enemy                                        | Prodigy                          |         7;9 |        8.0 |                                                 7;9;7;9;7;9;7;9;7;9;7;9 |
| Sacrum                                                     | Artefakt                         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Drachme Tolosate                                           | Amandra                          |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| So High                                                    | Essential Trip                   |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| No Memory                                                  | Stone Temple Pilots              |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Piece Of Pie                                               | Stone Temple Pilots              |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| A Warm Place                                               | Nine Inch Nails                  |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Light Up The Sky                                           | Thousand Foot Krutch             |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Breaking The Habit                                         | Linkin Park                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Numb                                                       | Linkin Park                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Galaxies Part One (Album Edit)                             | Asura                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| The Prophecy                                               | Asura                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Five Lines                                                 | Asura                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Life Is Sweet                                              | The Chemical Brothers            |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Elektrobank                                                | The Chemical Brothers            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Piku                                                       | The Chemical Brothers            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| It Doesn't Matter                                          | The Chemical Brothers            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Born Too Slow                                              | The Crystal Method               |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| True Grit                                                  | The Crystal Method               |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Broken Glass                                               | The Crystal Method               |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Loving Can Be An Art (Saturation Mix)                      | KMFDM                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| More And Faster 243                                        | KMFDM                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Rip The System (Duck And Cover Mix)                        | KMFDM                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Ganja Rock                                                 | KMFDM                            |       7;7;8 |        7.3 |                                     7;7;8;7;7;8;7;7;8;7;7;8;7;7;8;7;7;8 |
| Power                                                      | KMFDM                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Craze                                                      | KMFDM                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Intro: Park Theme                                          | Buckethead                       |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Wish I May                                                 | Breaking Benjamin                |  7;8;8;9;10 |        8.4 |       7;8;8;9;10;7;8;8;9;10;7;8;8;9;10;7;8;8;9;10;7;8;8;9;10;7;8;8;9;10 |
| Medicate                                                   | Breaking Benjamin                |     7;8;9;9 |        8.2 |                         7;8;9;9;7;8;9;9;7;8;9;9;7;8;9;9;7;8;9;9;7;8;9;9 |
| Shpongle Falls                                             | Shpongle                         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Monster Hit                                                | Shpongle                         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Turned Out                                                 | Helmet                           |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Under Neon Lights                                          | The Chemical Brothers            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Born In The Echoes                                         | The Chemical Brothers            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Exploding/Reloading                                        | Scars On Broadway                |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| World Long Gone                                            | Scars On Broadway                |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Kill Each Other/Live Forever                               | Scars On Broadway                |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Deep Kick                                                  | Red Hot Chili Peppers            |       7;7;8 |        7.3 |                                     7;7;8;7;7;8;7;7;8;7;7;8;7;7;8;7;7;8 |
| 30/30-150                                                  | Stone Sour                       |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Made Of Scars                                              | Stone Sour                       |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Through Glass                                              | Stone Sour                       |       7;8;9 |        8.0 |                                     7;8;9;7;8;9;7;8;9;7;8;9;7;8;9;7;8;9 |
| Первый                                                     | SARS                             |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Третий                                                     | SARS                             |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Mein Herz Brennt                                           | Rammstein                        |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Feuer Frei!                                                | Rammstein                        |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| ACF                                                        | Stabbing Westward                |           7 |        7.0 |                                                             7;7;7;7;7;7 |
